CityState,ZIP,City,State,lat,lon
"Wrentham, MA",02093,Wrentham,MA,42.0597,-71.34617
"Boston, MA",02101,Boston,MA,42.370567,-71.026964
"Mattapan, MA",02126,Mattapan,MA,42.272098,-71.09426
"Charlestown, MA",02129,Charlestown,MA,42.378619,-71.06495
"Jamaica Plain, MA",02130,Jamaica Plain,MA,42.309998,-71.11171
"Roslindale, MA",02131,Roslindale,MA,42.284678,-71.13052
"West Roxbury, MA",02132,West Roxbury,MA,42.279432,-71.1598
"Allston, MA",02134,Allston,MA,42.355147,-71.13164
"Brighton, MA",02135,Brighton,MA,42.348418,-71.15349
"Hyde Park, MA",02136,Hyde Park,MA,42.252198,-71.12593
"Readville, MA",02137,Readville,MA,42.338947,-70.919635
"Cambridge, MA",02138,Cambridge,MA,42.379146,-71.12803
"Somerville, MA",02143,Somerville,MA,42.381929,-71.09908
"Brookline, MA",02146,Brookline,MA,42.308198,-71.088745
"Brookline Village, MA",02147,Brookline Village,MA,42.180048,-71.08923
"Malden, MA",02148,Malden,MA,42.428549,-71.06059
"Everett, MA",02149,Everett,MA,42.409916,-71.0522
"Chelsea, MA",02150,Chelsea,MA,42.396382,-71.03352
"Revere, MA",02151,Revere,MA,42.416247,-71.00525
"Winthrop, MA",02152,Winthrop,MA,42.373047,-70.97803
"Medford, MA",02153,Medford,MA,42.446396,-71.459405
"Waltham, MA",02154,Waltham,MA,42.388938,-71.2398
"West Medford, MA",02156,West Medford,MA,42.446396,-71.459405
"Babson Park, MA",02157,Babson Park,MA,42.173933,-71.185494
"Newton, MA",02158,Newton,MA,42.353696,-71.188149
"Auburndale, MA",02166,Auburndale,MA,42.346146,-71.243057
"Chestnut Hill, MA",02167,Chestnut Hill,MA,42.320797,-71.169847
"Waban, MA",02168,Waban,MA,42.446396,-71.459405
"Quincy, MA",02169,Quincy,MA,42.250739,-70.99593
"Watertown, MA",02172,Watertown,MA,42.372596,-71.177998
"Lexington, MA",02173,Lexington,MA,42.446396,-71.459405
"Arlington, MA",02174,Arlington,MA,42.417695,-71.167083
"Arlington Heights, MA",02175,Arlington Heights,MA,42.446396,-71.459405
"Melrose, MA",02176,Melrose,MA,42.459045,-71.06233
"Belmont, MA",02178,Belmont,MA,42.446396,-71.459405
"Waverley, MA",02179,Waverley,MA,42.446396,-71.459405
"Stoneham, MA",02180,Stoneham,MA,42.480145,-71.09835
"Wellesley, MA",02181,Wellesley,MA,42.300596,-71.27875
"Braintree, MA",02184,Braintree,MA,42.209555,-70.99968
"Milton, MA",02186,Milton,MA,42.253074,-71.07496
"Milton Village, MA",02187,Milton Village,MA,42.180048,-71.08923
"Weymouth, MA",02188,Weymouth,MA,42.212866,-70.95872
"Needham, MA",02192,Needham,MA,42.180048,-71.08923
"Weston, MA",02193,Weston,MA,42.446396,-71.459405
"East Boston, MA",02228,East Boston,MA,42.35,-71.06
"Brockton, MA",02301,Brockton,MA,42.0794,-71.03441
"Avon, MA",02322,Avon,MA,42.121932,-71.04522
"Bridgewater, MA",02324,Bridgewater,MA,41.979501,-70.97215
"Bryantville, MA",02327,Bryantville,MA,42.040708,-70.827245
"Carver, MA",02330,Carver,MA,41.873697,-70.7656
"Duxbury, MA",02331,Duxbury,MA,41.970474,-70.701357
"East Bridgewater, MA",02333,East Bridgewater,MA,42.029083,-70.95227
"Easton, MA",02334,Easton,MA,42.023528,-71.132397
"Elmwood, MA",02337,Elmwood,MA,42.022225,-70.931588
"Halifax, MA",02338,Halifax,MA,41.999851,-70.85395
"Hanover, MA",02339,Hanover,MA,42.12867,-70.85913
"Hanson, MA",02341,Hanson,MA,42.059434,-70.86205
"Holbrook, MA",02343,Holbrook,MA,42.148351,-71.01037
"Middleboro, MA",02344,Middleboro,MA,41.970474,-70.701357
"Manomet, MA",02345,Manomet,MA,41.888198,-70.581029
"Lakeville, MA",02347,Lakeville,MA,41.835094,-70.95973
"Monponsett, MA",02350,Monponsett,MA,42.018525,-70.847486
"Abington, MA",02351,Abington,MA,42.119534,-70.94787
"North Carver, MA",02355,North Carver,MA,41.916918,-70.801331
"North Easton, MA",02356,North Easton,MA,42.058507,-71.11309
"North Pembroke, MA",02358,North Pembroke,MA,41.805219,-70.62642
"Pembroke, MA",02359,Pembroke,MA,42.065554,-70.80426
